name,sex,departmentCode,joblevelCode,skillCode,telephone,birthdate,postal,address
BATCH-000000,F,100001,7,4,263000000,19700101,140200,LGCNS DEVON BATCH
BATCH-000001,F,100001,7,4,263000001,19700102,140200,LGCNS DEVON BATCH
BATCH-000002,F,100001,7,4,263000002,19700103,140200,LGCNS DEVON BATCH
BATCH-000003,F,100001,7,4,263000003,19700104,140200,LGCNS DEVON BATCH
BATCH-000004,F,100001,7,4,263000004,19700105,140200,LGCNS DEVON BATCH
BATCH-000005,M,100001,7,4,263000005,19700106,140200,LGCNS DEVON BATCH
BATCH-000006,F,100001,7,4,263000006,19700107,140200,LGCNS DEVON BATCH
BATCH-000007,F,100001,7,4,263000007,19700108,140200,LGCNS DEVON BATCH
BATCH-000008,M,100001,7,4,263000008,19700109,140200,LGCNS DEVON BATCH
BATCH-000009,F,100001,7,4,263000009,19700110,140200,LGCNS DEVON BATCH
BATCH-000010,M,100001,7,4,263000010,19700111,140200,LGCNS DEVON BATCH
BATCH-000011,M,100001,7,4,263000011,19700112,140200,LGCNS DEVON BATCH
BATCH-000012,M,100001,7,4,263000012,19700113,140200,LGCNS DEVON BATCH
BATCH-000013,F,100001,7,4,263000013,19700114,140200,LGCNS DEVON BATCH
BATCH-000014,F,100001,7,4,263000014,19700115,140200,LGCNS DEVON BATCH
BATCH-000015,M,100001,7,4,263000015,19700116,140200,LGCNS DEVON BATCH
BATCH-000016,M,100001,7,4,263000016,19700117,140200,LGCNS DEVON BATCH
BATCH-000017,F,100001,7,4,263000017,19700118,140200,LGCNS DEVON BATCH
BATCH-000018,M,100001,7,4,263000018,19700119,140200,LGCNS DEVON BATCH
BATCH-000019,F,100001,7,4,263000019,19700120,140200,LGCNS DEVON BATCH
BATCH-000020,M,100001,7,4,263000020,19700121,140200,LGCNS DEVON BATCH
BATCH-000021,M,100001,7,4,263000021,19700122,140200,LGCNS DEVON BATCH
BATCH-000022,M,100001,7,4,263000022,19700123,140200,LGCNS DEVON BATCH
BATCH-000023,F,100001,7,4,263000023,19700124,140200,LGCNS DEVON BATCH
BATCH-000024,M,100001,7,4,263000024,19700125,140200,LGCNS DEVON BATCH
