num,name,sex,departmentCode,joblevelCode,skillCode,telephone,birthdate,postal,address
90000000,BATCH-000000,F,100001,7,4,263000000,19700101,140200,LGCNS DEVON BATCH
90000001,BATCH-000001,F,100001,7,4,263000001,19700102,140200,LGCNS DEVON BATCH
90000002,BATCH-000002,F,100001,7,4,263000002,19700103,140200,LGCNS DEVON BATCH
90000003,BATCH-000003,F,100001,7,4,263000003,19700104,140200,LGCNS DEVON BATCH
90000004,BATCH-000004,F,100001,7,4,263000004,19700105,140200,LGCNS DEVON BATCH
90000005,BATCH-000005,M,100001,7,4,263000005,19700106,140200,LGCNS DEVON BATCH
90000006,BATCH-000006,F,100001,7,4,263000006,19700107,140200,LGCNS DEVON BATCH
90000007,BATCH-000007,F,100001,7,4,263000007,19700108,140200,LGCNS DEVON BATCH
90000008,BATCH-000008,M,100001,7,4,263000008,19700109,140200,LGCNS DEVON BATCH
90000009,BATCH-000009,F,100001,7,4,263000009,19700110,140200,LGCNS DEVON BATCH
90000010,BATCH-000010,M,100001,7,4,263000010,19700111,140200,LGCNS DEVON BATCH
90000011,BATCH-000011,M,100001,7,4,263000011,19700112,140200,LGCNS DEVON BATCH
90000012,BATCH-000012,M,100001,7,4,263000012,19700113,140200,LGCNS DEVON BATCH
90000013,BATCH-000013,F,100001,7,4,263000013,19700114,140200,LGCNS DEVON BATCH
90000014,BATCH-000014,F,100001,7,4,263000014,19700115,140200,LGCNS DEVON BATCH
90000015,BATCH-000015,M,100001,7,4,263000015,19700116,140200,LGCNS DEVON BATCH
90000016,BATCH-000016,M,100001,7,4,263000016,19700117,140200,LGCNS DEVON BATCH
90000017,BATCH-000017,F,100001,7,4,263000017,19700118,140200,LGCNS DEVON BATCH
90000018,BATCH-000018,M,100001,7,4,263000018,19700119,140200,LGCNS DEVON BATCH
90000019,BATCH-000019,F,100001,7,4,263000019,19700120,140200,LGCNS DEVON BATCH
90000020,BATCH-000020,M,100001,7,4,263000020,19700121,140200,LGCNS DEVON BATCH
90000021,BATCH-000021,M,100001,7,4,263000021,19700122,140200,LGCNS DEVON BATCH
90000022,BATCH-000022,M,100001,7,4,263000022,19700123,140200,LGCNS DEVON BATCH
90000023,BATCH-000023,F,100001,7,4,263000023,19700124,140200,LGCNS DEVON BATCH
90000024,BATCH-000024,M,100001,7,4,263000024,19700125,140200,LGCNS DEVON BATCH
90000025,BATCH-000025,M,100001,7,4,263000025,19700126,140200,LGCNS DEVON BATCH
90000026,BATCH-000026,F,100001,7,4,263000026,19700127,140200,LGCNS DEVON BATCH
90000027,BATCH-000027,F,100001,7,4,263000027,19700128,140200,LGCNS DEVON BATCH
90000028,BATCH-000028,M,100001,7,4,263000028,19700129,140200,LGCNS DEVON BATCH
90000029,BATCH-000029,F,100001,7,4,263000029,19700130,140200,LGCNS DEVON BATCH
90000030,BATCH-000030,F,100001,7,4,263000030,19700131,140200,LGCNS DEVON BATCH
90000031,BATCH-000031,F,100001,7,4,263000031,19700201,140200,LGCNS DEVON BATCH
90000032,BATCH-000032,F,100001,7,4,263000032,19700202,140200,LGCNS DEVON BATCH
90000033,BATCH-000033,F,100001,7,4,263000033,19700203,140200,LGCNS DEVON BATCH
90000034,BATCH-000034,M,100001,7,4,263000034,19700204,140200,LGCNS DEVON BATCH
90000035,BATCH-000035,M,100001,7,4,263000035,19700205,140200,LGCNS DEVON BATCH
90000036,BATCH-000036,M,100001,7,4,263000036,19700206,140200,LGCNS DEVON BATCH
90000037,BATCH-000037,M,100001,7,4,263000037,19700207,140200,LGCNS DEVON BATCH
90000038,BATCH-000038,M,100001,7,4,263000038,19700208,140200,LGCNS DEVON BATCH
90000039,BATCH-000039,M,100001,7,4,263000039,19700209,140200,LGCNS DEVON BATCH
90000040,BATCH-000040,F,100001,7,4,263000040,19700210,140200,LGCNS DEVON BATCH
90000041,BATCH-000041,F,100001,7,4,263000041,19700211,140200,LGCNS DEVON BATCH
90000042,BATCH-000042,F,100001,7,4,263000042,19700212,140200,LGCNS DEVON BATCH
90000043,BATCH-000043,F,100001,7,4,263000043,19700213,140200,LGCNS DEVON BATCH
90000044,BATCH-000044,M,100001,7,4,263000044,19700214,140200,LGCNS DEVON BATCH
90000045,BATCH-000045,M,100001,7,4,263000045,19700215,140200,LGCNS DEVON BATCH
90000046,BATCH-000046,F,100001,7,4,263000046,19700216,140200,LGCNS DEVON BATCH
90000047,BATCH-000047,F,100001,7,4,263000047,19700217,140200,LGCNS DEVON BATCH
90000048,BATCH-000048,M,100001,7,4,263000048,19700218,140200,LGCNS DEVON BATCH
90000049,BATCH-000049,M,100001,7,4,263000049,19700219,140200,LGCNS DEVON BATCH
90000050,BATCH-000050,F,100001,7,4,263000050,19700220,140200,LGCNS DEVON BATCH
90000051,BATCH-000051,M,100001,7,4,263000051,19700221,140200,LGCNS DEVON BATCH
90000052,BATCH-000052,M,100001,7,4,263000052,19700222,140200,LGCNS DEVON BATCH
90000053,BATCH-000053,M,100001,7,4,263000053,19700223,140200,LGCNS DEVON BATCH
90000054,BATCH-000054,M,100001,7,4,263000054,19700224,140200,LGCNS DEVON BATCH
90000055,BATCH-000055,M,100001,7,4,263000055,19700225,140200,LGCNS DEVON BATCH
90000056,BATCH-000056,F,100001,7,4,263000056,19700226,140200,LGCNS DEVON BATCH
90000057,BATCH-000057,F,100001,7,4,263000057,19700227,140200,LGCNS DEVON BATCH
90000058,BATCH-000058,M,100001,7,4,263000058,19700228,140200,LGCNS DEVON BATCH
90000059,BATCH-000059,M,100001,7,4,263000059,19700301,140200,LGCNS DEVON BATCH
90000060,BATCH-000060,M,100001,7,4,263000060,19700302,140200,LGCNS DEVON BATCH
90000061,BATCH-000061,M,100001,7,4,263000061,19700303,140200,LGCNS DEVON BATCH
90000062,BATCH-000062,F,100001,7,4,263000062,19700304,140200,LGCNS DEVON BATCH
90000063,BATCH-000063,F,100001,7,4,263000063,19700305,140200,LGCNS DEVON BATCH
90000064,BATCH-000064,M,100001,7,4,263000064,19700306,140200,LGCNS DEVON BATCH
90000065,BATCH-000065,M,100001,7,4,263000065,19700307,140200,LGCNS DEVON BATCH
90000066,BATCH-000066,M,100001,7,4,263000066,19700308,140200,LGCNS DEVON BATCH
90000067,BATCH-000067,F,100001,7,4,263000067,19700309,140200,LGCNS DEVON BATCH
90000068,BATCH-000068,F,100001,7,4,263000068,19700310,140200,LGCNS DEVON BATCH
